t	1	jV0200	
3.04	5	-5	
3.05	5	-5	
3.06	5	-5	
3.07	5	-5	
3.08	5	-5	
3.09	5	-5	
3.1	5	-5	
3.11	5	-5	
3.12	5	-5	
3.13	5	-5	
3.14	5	-5	
3.15	5	-5	
3.16	5	-5	
3.17	5	-5	
3.18	5	-5	
3.19	5	-5	
3.2	5	-5	
3.21	5	-5	
3.22	5	-5	
3.23	5	-5	
3.24	5	-5	
3.25	5	-5	
3.26	5	-5	
3.27	5	-5	
3.28	5	-5	
3.29	5	-5	
3.3	5	-5	
3.31	5	-5	
3.32	5	-5	
3.33	5	-5	
3.34	5	-5	
3.35	5	-5	
3.36	5	-5	
3.37	5	-5	
3.38	5	-5	
3.39	5	-5	
3.4	5	-5	
3.41	5	-5	
3.42	5	-5	
3.43	5	-5	
3.44	5	-5	
3.45	5	-5	
3.46	5	-5	
3.47	5	-5	
3.48	5	-5	
3.49	5	-5	
3.5	5	-5	
3.51	5	-5	
3.52	5	-5	
3.53	5	-5	
3.54	5	-5	
3.55	5	-5	
3.56	5	-5	
3.57	5	-5	
3.58	5	-5	
3.59	5	-5	
3.6	5	-5	
3.61	5	-5	
3.62	5	-5	
3.63	5	-5	
3.64	5	-5	
3.65	5	-5	
3.66	5	-5	
3.67	5	-5	
3.68	5	-5	
3.69	5	-5	
3.7	5	-5	
3.71	5	-5	
3.72	5	-5	
3.73	5	-5	
3.74	5	-5	
3.75	5	-5	
3.76	5	-5	
3.77	5	-5	
3.78	5	-5	
3.79	5	-5	
3.8	5	-5	
3.81	5	-5	
3.82	5	-5	
3.83	5	-5	
3.84	5	-5	
3.85	5	-5	
3.86	5	-5	
3.87	5	-5	
3.88	5	-5	
3.89	5	-5	
3.9	5	-5	
3.91	5	-5	
3.92	5	-5	
3.93	5	-5	
3.94	5	-5	
3.95	5	-5	
3.96	5	-5	
3.97	5	-5	
3.98	5	-5	
3.99	5	-5	
4	5	-5	
4.01	4.975	-4.975	
4.02	4.95	-4.95	
4.03	4.925	-4.925	
4.04	4.9	-4.9	
4.05	4.875	-4.875	
4.06	4.85	-4.85	
4.07	4.825	-4.825	
4.08	4.8	-4.8	
4.09	4.775	-4.775	
